policy_label,workload,policy,cpp_file_path,ipc,cache_hit_rate
Ours,astar,best-performing-policy,best-performing-policy.cc,0.104890,0.428452
Ours,lbm,best-performing-policy,best-performing-policy.cc,0.535222,0.402806
Ours,mcf,best-performing-policy,best-performing-policy.cc,0.074309,0.460680
Ours,milc,best-performing-policy,best-performing-policy.cc,0.366431,0.307881
Ours,omnetpp,best-performing-policy,best-performing-policy.cc,0.468543,0.851400
LIME,astar,lime,ChampSim_CRC2/champ_repl_pol/lime.cc,0.110739,0.389018
LIME,lbm,lime,ChampSim_CRC2/champ_repl_pol/lime.cc,0.555505,0.329722
LIME,mcf,lime,ChampSim_CRC2/champ_repl_pol/lime.cc,0.082053,0.523018
LIME,milc,lime,ChampSim_CRC2/champ_repl_pol/lime.cc,0.368337,0.234603
LIME,omnetpp,lime,ChampSim_CRC2/champ_repl_pol/lime.cc,0.453687,0.690053
LRU,astar,lru,ChampSim_CRC2/champ_repl_pol/lru.cc,0.103988,0.454542
LRU,lbm,lru,ChampSim_CRC2/champ_repl_pol/lru.cc,0.538881,0.439858
LRU,mcf,lru,ChampSim_CRC2/champ_repl_pol/lru.cc,0.070199,0.407402
LRU,milc,lru,ChampSim_CRC2/champ_repl_pol/lru.cc,0.364294,0.321911
LRU,omnetpp,lru,ChampSim_CRC2/champ_repl_pol/lru.cc,0.438361,0.460653
